date,dayup,nindex,perc
01/1980,9,0.00,6.62
02/1980,9,0.00,4.62
03/1980,9,0.00,6.04
04/1980,9,0.00,5.29
05/1980,9,0.00,5.70
06/1980,9,0.00,5.31
07/1980,9,0.00,5.55
08/1980,9,0.00,4.95
09/1980,9,0.00,4.23
10/1980,9,0.00,9.48
11/1980,9,0.00,6.67
12/1980,9,0.00,6.61
01/1981,9,0.00,6.84
02/1981,9,0.00,6.40
03/1981,9,0.00,4.97
04/1981,9,0.00,6.46
05/1981,9,0.00,5.56
06/1981,9,0.00,5.52
07/1981,9,0.00,6.26
08/1981,9,0.00,5.50
09/1981,9,0.00,5.26
10/1981,9,0.00,5.08
11/1981,9,0.00,5.27
12/1981,9,0.00,5.93
01/1982,9,0.00,6.97
02/1982,9,0.00,6.64
03/1982,9,0.00,5.71
04/1982,9,0.00,5.89
05/1982,9,0.00,6.66
06/1982,9,0.00,7.10
07/1982,9,0.00,6.36
08/1982,9,0.00,5.97
09/1982,9,0.00,5.08
10/1982,9,0.00,4.44
11/1982,9,0.00,5.29
12/1982,9,0.00,7.81
01/1983,9,0.00,8.64
02/1983,9,0.00,7.86
03/1983,9,0.00,7.34
04/1983,9,0.00,6.58
05/1983,9,0.00,6.48
06/1983,9,0.00,9.88
07/1983,9,0.00,10.08
08/1983,9,0.00,9.11
09/1983,9,0.00,10.30
10/1983,9,0.00,8.87
11/1983,9,0.00,7.38
12/1983,9,0.00,8.68
01/1984,9,0.00,9.67
02/1984,9,0.00,9.50
03/1984,9,0.00,8.94
04/1984,9,0.00,9.54
05/1984,9,0.00,9.05
06/1984,9,0.00,10.08
07/1984,9,0.00,9.72
08/1984,9,0.00,9.35
09/1984,9,0.00,11.75
10/1984,9,0.00,10.44
11/1984,9,0.00,10.53
12/1984,9,0.00,11.98
01/1985,9,0.00,11.76
02/1985,9,0.00,10.87
03/1985,9,0.00,10.16
04/1985,9,0.00,8.20
05/1985,9,0.00,7.20
06/1985,9,0.00,8.49
07/1985,9,0.00,10.31
08/1985,9,0.00,12.05
09/1985,9,0.00,11.12
10/1985,9,0.00,10.62
11/1985,9,0.00,13.97
12/1985,9,0.00,15.07
01/1986,9,0.00,14.37
02/1986,9,0.00,12.72
03/1986,9,0.00,4.77
04/1986,9,0.00,0.78
05/1986,9,0.00,1.40
06/1986,9,0.00,1.27
07/1986,9,0.00,1.71
08/1986,9,0.00,3.55
09/1986,9,0.00,1.72
10/1986,9,0.00,1.90
11/1986,9,0.00,5.45
12/1986,9,0.00,11.65
01/1987,9,0.00,13.21
02/1987,9,0.00,12.64
03/1987,9,0.00,16.37
04/1987,9,0.00,19.10
05/1987,9,0.00,21.45
06/1987,9,0.00,19.71
07/1987,9,0.00,9.21
08/1987,9,0.00,4.87
09/1987,9,0.00,7.78
10/1987,9,0.00,11.22
11/1987,9,0.00,15.08
12/1987,9,0.00,14.15
01/1988,9,0.00,18.89
02/1988,9,0.00,15.70
03/1988,9,0.00,17.60
04/1988,9,0.00,19.29
05/1988,9,0.00,17.42
06/1988,9,0.00,22.00
07/1988,9,0.00,21.91
08/1988,9,0.00,21.59
09/1988,9,0.00,27.45
10/1988,9,0.00,25.62
11/1988,9,0.00,27.94
12/1988,9,0.00,28.70
01/1989,9,0.00,37.49
02/1989,9,0.00,16.78
03/1989,9,0.00,6.82
04/1989,9,0.00,8.33
05/1989,9,0.00,17.92
06/1989,9,0.00,28.65
07/1989,9,0.00,27.74
08/1989,9,0.00,33.71
09/1989,9,0.00,37.56
10/1989,9,0.00,39.77
11/1989,9,0.00,47.82
12/1989,9,0.00,51.50
01/1990,9,0.00,67.55
02/1990,9,0.00,75.73
03/1990,9,0.00,82.39
04/1990,9,0.00,15.52
05/1990,9,0.00,7.59
06/1990,9,0.00,11.75
07/1990,9,0.00,12.92
08/1990,9,0.00,12.88
09/1990,9,0.00,14.41
10/1990,9,0.00,14.36
11/1990,9,0.00,16.81
12/1990,9,0.00,18.44
01/1991,9,0.00,20.75
02/1991,9,0.00,20.72
03/1991,9,0.00,11.92
04/1991,9,0.00,4.99
05/1991,9,0.00,7.43
06/1991,9,0.00,11.19
07/1991,9,0.00,12.41
08/1991,9,0.00,15.63
09/1991,9,0.00,15.63
10/1991,9,0.00,20.23
11/1991,9,0.00,25.21
12/1991,9,0.00,23.71
01/1992,9,0.00,25.94
02/1992,9,0.00,24.32
03/1992,9,0.00,21.40
04/1992,9,0.00,19.93
05/1992,9,0.00,24.86
06/1992,9,0.00,20.21
07/1992,9,0.00,21.83
08/1992,9,0.00,22.14
09/1992,9,0.00,24.63
10/1992,9,0.00,25.24
11/1992,9,0.00,22.49
12/1992,9,0.00,25.24
01/1993,9,0.00,30.35
02/1993,9,0.00,24.98
03/1993,9,0.00,27.26
04/1993,9,0.00,27.75
05/1993,9,0.00,27.69
06/1993,9,0.00,30.07
07/1993,9,0.00,30.72
08/1993,9,0.00,32.96
09/1993,9,0.00,35.69
10/1993,9,0.00,33.92
11/1993,9,0.00,35.56
12/1993,9,100.00,36.84
01/1994,9,141.31,41.31
02/1994,9,198.22,40.27
03/1994,9,282.96,42.75
04/1994,9,403.73,42.68
05/1994,9,581.49,44.03
06/1994,9,857.29,47.43
07/1994,9,915.93,6.84
08/1994,9,932.97,1.86
09/1994,9,947.24,1.53
10/1994,9,972.06,2.62
11/1994,9,999.37,2.81
12/1994,9,1016.46,1.71
01/1995,9,1033.74,1.70
02/1995,9,1044.28,1.02
03/1995,9,1060.47,1.55
04/1995,9,1086.24,2.43
05/1995,9,1115.24,2.67
06/1995,9,1140.44,2.26
07/1995,9,1167.35,2.36
08/1995,9,1178.91,0.99
09/1995,9,1190.58,0.99
10/1995,9,1207.37,1.41
11/1995,9,1225.12,1.47
12/1995,9,1244.23,1.56
01/1996,9,1260.90,1.34
02/1996,9,1273.89,1.03
03/1996,9,1278.35,0.35
04/1996,9,1294.46,1.26
05/1996,9,1310.25,1.22
06/1996,9,1325.84,1.19
07/1996,9,1340.56,1.11
08/1996,9,1346.46,0.44
09/1996,9,1348.48,0.15
10/1996,9,1352.53,0.30
11/1996,9,1356.86,0.32
12/1996,9,1363.24,0.47
01/1997,9,1379.33,1.18
02/1997,9,1386.23,0.50
03/1997,9,1393.30,0.51
04/1997,9,1405.56,0.88
05/1997,9,1411.32,0.41
06/1997,9,1418.94,0.54
07/1997,9,1422.06,0.22
08/1997,9,1421.78,-0.02
09/1997,9,1422.63,0.06
10/1997,9,1425.90,0.23
11/1997,9,1428.32,0.17
12/1997,9,1434.46,0.43
01/1998,9,1444.64,0.71
02/1998,9,1451.29,0.46
03/1998,9,1456.22,0.34
04/1998,9,1459.71,0.24
05/1998,9,1467.01,0.50
06/1998,9,1467.30,0.02
07/1998,9,1465.54,-0.12
08/1998,9,1458.07,-0.51
09/1998,9,1454.86,-0.22
10/1998,9,1455.15,0.02
11/1998,9,1453.40,-0.12
12/1998,9,1458.20,0.33
01/1999,9,1468.41,0.70
02/1999,9,1483.83,1.05
03/1999,9,1500.15,1.10
04/1999,9,1508.55,0.56
05/1999,9,1513.08,0.30
06/1999,9,1515.95,0.19
07/1999,9,1532.47,1.09
08/1999,9,1541.05,0.56
09/1999,9,1545.83,0.31
10/1999,9,1564.23,1.19
11/1999,9,1579.09,0.95
12/1999,9,1588.56,0.60
01/2000,10,1598.41,0.62
02/2000,14,1600.49,0.13
03/2000,11,1604.01,0.22
04/2000,12,1610.75,0.42
05/2000,09,1610.91,0.01
06/2000,12,1614.62,0.23
07/2000,10,1640.62,1.61
08/2000,12,1662.11,1.31
09/2000,11,1665.93,0.23
10/2000,10,1668.26,0.14
11/2000,12,1673.60,0.32
12/2000,12,1683.47,0.59
01/2001,09,1693.07,0.57
02/2001,14,1700.86,0.46
03/2001,11,1707.32,0.38
04/2001,11,1717.22,0.58
05/2001,12,1724.26,0.41
06/2001,13,1733.23,0.52
07/2001,10,1756.28,1.33
08/2001,12,1768.57,0.70
09/2001,10,1773.52,0.28
10/2001,09,1788.24,0.83
11/2001,12,1800.94,0.71
12/2001,11,1812.65,0.65
01/2002,08,1822.08,0.52
02/2002,12,1828.64,0.36
03/2002,10,1839.61,0.60
04/2002,10,1854.33,0.80
05/2002,12,1858.22,0.21
06/2002,10,1866.02,0.42
07/2002,09,1888.23,1.19
08/2002,10,1900.50,0.65
09/2002,09,1914.18,0.72
10/2002,12,1939.26,1.31
11/2002,06,1997.83,3.02
12/2002,10,2039.78,2.10
01/2003,13,2085.68,2.25
02/2003,14,2118.43,1.57
03/2003,10,2144.49,1.23
04/2003,13,2165.29,0.97
05/2003,10,2178.50,0.61
06/2003,09,2175.23,-0.15
07/2003,08,2179.58,0.20
08/2003,09,2186.99,0.34
09/2003,09,2204.05,0.78
10/2003,06,2210.44,0.29
11/2003,05,2217.96,0.34
12/2003,14,2229.49,0.52
01/2004,13,2246.43,0.76
02/2004,11,2260.13,0.61
03/2004,07,2270.75,0.47
04/2004,07,2279.15,0.37
05/2004,08,2290.77,0.51
06/2004,09,2307.03,0.71
07/2004,11,2328.02,0.91
08/2004,10,2344.08,0.69
09/2004,08,2351.82,0.33
10/2004,11,2362.17,0.44
11/2004,08,2378.47,0.69
12/2004,14,2398.92,0.86
01/2005,14,2412.83,0.58
02/2005,11,2427.07,0.59
03/2005,08,2441.87,0.61
04/2005,11,2463.11,0.87
05/2005,10,2475.18,0.49
06/2005,08,2474.68,-0.02
07/2005,09,2480.87,0.25
08/2005,06,2485.09,0.17
09/2005,07,2493.79,0.35
10/2005,10,2512.49,0.75
11/2005,09,2526.31,0.55
12/2005,12,2535.40,0.36
01/2006,09,2550.36,0.59
02/2006,10,2560.82,0.41
03/2006,07,2571.83,0.43
04/2006,10,2577.23,0.21
05/2006,08,2579.81,0.10
06/2006,07,2574.39,-0.21
07/2006,11,2579.28,0.19
08/2006,06,2580.57,0.05
09/2006,06,2585.99,0.21
10/2006,10,2594.52,0.33
11/2006,08,2602.56,0.31
12/2006,12,2615.05,0.48
01/2007,09,2626.56,0.44
02/2007,09,2638.12,0.44
03/2007,11,2647.88,0.37
04/2007,11,2654.50,0.25
05/2007,06,2661.93,0.28
06/2007,06,2669.38,0.28
07/2007,08,2675.79,0.24
08/2007,06,2688.37,0.47
09/2007,10,2693.21,0.18
10/2007,07,2701.29,0.30
11/2007,06,2711.55,0.38
12/2007,11,2731.62,0.74
01/2008,13,2746.37,0.54
02/2008,11,2759.83,0.49
03/2008,09,2773.08,0.48
04/2008,09,2788.33,0.55
05/2008,11,2810.36,0.79
06/2008,10,2831.16,0.74
07/2008,08,2846.16,0.53
08/2008,05,2854.13,0.28
09/2008,08,2861.55,0.26
10/2008,07,2874.43,0.45
11/2008,05,2884.78,0.36
12/2008,09,2892.86,0.28
01/2009,06,2906.74,0.48
02/2009,11,2922.73,0.55
03/2009,08,2928.57,0.20
04/2009,08,2942.63,0.48
05/2009,10,2956.46,0.47
06/2009,08,2967.10,0.36
07/2009,07,2974.22,0.24
08/2009,10,2978.68,0.15
09/2009,08,2985.83,0.24
10/2009,11,2994.19,0.28
11/2009,09,3006.47,0.41
12/2009,13,3017.59,0.37
01/2010,05,3040.22,0.75
02/2010,05,3063.93,0.78
03/2010,08,3079.86,0.52
04/2010,07,3097.42,0.57
05/2010,09,3110.74,0.43
06/2010,07,3110.74,0.00
07/2010,06,3111.05,0.01
08/2010,09,3112.29,0.04
09/2010,07,3126.29,0.45
10/2010,09,3149.74,0.75
11/2010,08,3175.88,0.83
12/2010,07,3195.89,0.63
01/2011,08,3222.42,0.83
02/2011,04,3248.20,0.80
03/2011,07,3273.86,0.79
04/2011,06,3299.07,0.77
05/2011,07,3314.58,0.47
06/2011,07,3319.55,0.15
07/2011,05,3324.86,0.16
08/2011,06,3337.16,0.37
09/2011,07,3354.85,0.53
10/2011,11,3369.28,0.43
11/2011,08,3386.80,0.52
12/2011,06,3403.73,0.50
01/2012,10,3422.79,0.56
02/2012,09,3438.19,0.45
03/2012,05,3445.41,0.21
04/2012,09,3467.46,0.64
05/2012,06,3479.94,0.36
06/2012,06,3482.72,0.08
07/2012,08,3497.70,0.43
08/2012,05,3512.04,0.41
09/2012,05,3532.06,0.57
10/2012,07,3552.90,0.59
11/2012,07,3574.22,0.60
12/2012,10,3602.46,0.79
01/2013,07,3633.44,0.86
02/2013,08,3655.24,0.60
03/2013,10,3672.42,0.47
04/2013,08,3692.62,0.55
05/2013,07,3706.28,0.37
06/2013,05,3715.92,0.26
07/2013,07,3717.03,0.03
08/2013,06,3725.95,0.24
09/2013,09,3738.99,0.35
10/2013,07,3760.30,0.57
11/2013,06,3780.61,0.54
12/2013,10,3815.39,0.92
01/2014,07,3836.37,0.55
02/2014,12,3862.84,0.69
03/2014,09,3898.38,0.92
04/2014,09,3924.50,0.67
05/2014,06,3942.55,0.46
06/2014,08,3958.32,0.40
07/2014,08,3958.72,0.01
08/2014,05,3968.62,0.25
09/2014,08,3991.24,0.57
10/2014,07,4008.00,0.42
11/2014,05,4028.44,0.51
12/2014,09,4059.86,0.78
01/2015,06,4110.20,1.24
02/2015,06,4160.34,1.22
03/2015,08,4215.26,1.32
04/2015,08,4245.19,0.71
05/2015,10,4276.60,0.74
06/2015,08,4310.39,0.79
07/2015,07,4337.11,0.62
08/2015,10,4346.65,0.22
09/2015,07,4370.12,0.54
10/2015,06,4405.95,0.82
11/2015,09,4450.45,1.01
12/2015,08,4493.17,0.96
01/2016,05,4550.23,1.27
02/2016,09,4591.18,0.90
03/2016,08,4610.92,0.43
04/2016,06,4639.05,0.61
05/2016,08,4675.23,0.78
06/2016,08,4691.59,0.35
07/2016,10,4715.99,0.52
08/2016,09,4736.74,0.44
09/2016,07,4740.53,0.08
10/2016,09,4752.86,0.26
11/2016,09,4761.42,0.18
12/2016,11,4775.70,0.30
01/2017,08,4793.85,0.38
02/2017,10,4809.67,0.33
03/2017,07,4821.69,0.25
04/2017,10,4828.44,0.14
05/2017,09,4843.41,0.31
06/2017,07,4832.27,-0.23
07/2017,09,4843.87,0.24
08/2017,06,4853.07,0.19
09/2017,06,4860.83,0.16
10/2017,10,4881.25,0.42
11/2017,08,4894.92,0.28
12/2017,10,4916.46,0.44
01/2018,08,4930.72,0.29
02/2018,09,4946.50,0.32
03/2018,10,4950.95,0.09
04/2018,10,4961.84,0.22
05/2018,08,4981.69,0.40
06/2018,06,5044.46,1.26
07/2018,08,5061.11,0.33
08/2018,06,5056.56,-0.09
09/2018,05,5080.83,0.48
10/2018,07,5103.69,0.45
11/2018,07,5092.97,-0.21
12/2018,11,5100.61,0.15
01/2019,08,5116.93,0.32
02/2019,12,5138.93,0.43
03/2019,10,5177.47,0.75
04/2019,10,5206.98,0.57
05/2019,07,5213.75,0.13
06/2019,10,5214.27,0.01
07/2019,08,5224.18,0.19
08/2019,06,5229.93,0.11
09/2019,09,5227.84,-0.04
10/2019,07,5233.07,0.10
11/2019,06,5259.76,0.51
12/2019,10,5320.25,1.15
01/2020,07,5331.42,0.21
02/2020,11,5344.75,0.25
03/2020,09,5348.49,0.07
04/2020,08,5331.91,-0.31
05/2020,10,5311.65,-0.38
06/2020,10,5325.46,0.26
07/2020,07,5344.63,0.36
08/2020,09,5357.46,0.24
09/2020,09,5391.75,0.64
10/2020,06,5438.12,0.86
11/2020,08,5486.52,0.89
12/2020,12,5560.59,1.35
01/2021,09,5574.49,0.25
02/2021,11,5622.43,0.86
03/2021,09,5674.72,0.93
04/2021,11,5692.31,0.31
05/2021,09,5739.56,0.83
06/2021,08,5769.98,0.53
07/2021,10,5825.37,0.96
08/2021,09,5876.05,0.87
09/2021,08,5944.21,1.16
10/2021,10,6018.51,1.25
11/2021,10,6075.69,0.95
12/2021,11,6120.04,0.73
01/2022,09,6153.09,0.54
02/2022,11,6215.24,1.01