title;Núcleo da Inflação nos EUA
subtit;Variação mensal do CPI (preços ao consumidor), em %
dfont;U.S. BLS
decimal;1
ylines;0,0.3,0.6,0.9
blk_dx;80
blk_dx_inb;74
;
;
;
data;begin
x;y
01/1957;28.5
02/1957;28.6
03/1957;28.7
04/1957;28.8
05/1957;28.8
06/1957;28.9
07/1957;29
08/1957;29
09/1957;29.1
10/1957;29.2
11/1957;29.3
12/1957;29.3
01/1958;29.3
02/1958;29.4
03/1958;29.5
04/1958;29.5
05/1958;29.5
06/1958;29.6
07/1958;29.6
08/1958;29.6
09/1958;29.7
10/1958;29.7
11/1958;29.8
12/1958;29.9
01/1959;29.9
02/1959;29.9
03/1959;30
04/1959;30
05/1959;30.1
06/1959;30.2
07/1959;30.2
08/1959;30.2
09/1959;30.3
10/1959;30.4
11/1959;30.4
12/1959;30.5
01/1960;30.5
02/1960;30.6
03/1960;30.6
04/1960;30.6
05/1960;30.6
06/1960;30.7
07/1960;30.6
08/1960;30.6
09/1960;30.6
10/1960;30.8
11/1960;30.8
12/1960;30.7
01/1961;30.8
02/1961;30.8
03/1961;30.9
04/1961;30.9
05/1961;30.9
06/1961;31
07/1961;31
08/1961;31.1
09/1961;31.1
10/1961;31.1
11/1961;31.2
12/1961;31.2
01/1962;31.2
02/1962;31.2
03/1962;31.3
04/1962;31.3
05/1962;31.4
06/1962;31.4
07/1962;31.4
08/1962;31.5
09/1962;31.5
10/1962;31.5
11/1962;31.5
12/1962;31.6
01/1963;31.5
02/1963;31.6
03/1963;31.7
04/1963;31.7
05/1963;31.7
06/1963;31.8
07/1963;31.8
08/1963;31.9
09/1963;31.9
10/1963;32
11/1963;32
12/1963;32.1
01/1964;32.2
02/1964;32.2
03/1964;32.2
04/1964;32.2
05/1964;32.2
06/1964;32.3
07/1964;32.3
08/1964;32.3
09/1964;32.3
10/1964;32.4
11/1964;32.5
12/1964;32.5
01/1965;32.6
02/1965;32.6
03/1965;32.6
04/1965;32.7
05/1965;32.7
06/1965;32.7
07/1965;32.7
08/1965;32.7
09/1965;32.8
10/1965;32.8
11/1965;32.9
12/1965;33
01/1966;33
02/1966;33.1
03/1966;33.1
04/1966;33.3
05/1966;33.4
06/1966;33.5
07/1966;33.6
08/1966;33.7
09/1966;33.8
10/1966;34
11/1966;34
12/1966;34.1
01/1967;34.2
02/1967;34.2
03/1967;34.3
04/1967;34.4
05/1967;34.5
06/1967;34.6
07/1967;34.7
08/1967;34.9
09/1967;35
10/1967;35.1
11/1967;35.2
12/1967;35.4
01/1968;35.5
02/1968;35.7
03/1968;35.8
04/1968;35.9
05/1968;36
06/1968;36.2
07/1968;36.4
08/1968;36.5
09/1968;36.7
10/1968;36.9
11/1968;37.1
12/1968;37.2
01/1969;37.3
02/1969;37.6
03/1969;37.8
04/1969;38.1
05/1969;38.1
06/1969;38.3
07/1969;38.5
08/1969;38.7
09/1969;38.9
10/1969;39.1
11/1969;39.2
12/1969;39.4
01/1970;39.6
02/1970;39.8
03/1970;40.1
04/1970;40.4
05/1970;40.5
06/1970;40.8
07/1970;40.9
08/1970;41.1
09/1970;41.3
10/1970;41.5
11/1970;41.8
12/1970;42
01/1971;42.1
02/1971;42.2
03/1971;42.2
04/1971;42.4
05/1971;42.6
06/1971;42.8
07/1971;42.9
08/1971;43
09/1971;43
10/1971;43.1
11/1971;43.2
12/1971;43.3
01/1972;43.5
02/1972;43.6
03/1972;43.6
04/1972;43.8
05/1972;43.9
06/1972;44
07/1972;44.1
08/1972;44.3
09/1972;44.3
10/1972;44.4
11/1972;44.4
12/1972;44.6
01/1973;44.6
02/1973;44.8
03/1973;45
04/1973;45.1
05/1973;45.3
06/1973;45.4
07/1973;45.5
08/1973;45.7
09/1973;46
10/1973;46.3
11/1973;46.5
12/1973;46.7
01/1974;46.9
02/1974;47.2
03/1974;47.6
04/1974;47.9
05/1974;48.5
06/1974;49
07/1974;49.5
08/1974;50.2
09/1974;50.7
10/1974;51.2
11/1974;51.6
12/1974;52
01/1975;52.3
02/1975;52.8
03/1975;53
04/1975;53.3
05/1975;53.5
06/1975;53.8
07/1975;54
08/1975;54.2
09/1975;54.5
10/1975;54.8
11/1975;55.2
12/1975;55.5
01/1976;55.9
02/1976;56.2
03/1976;56.5
04/1976;56.7
05/1976;57
06/1976;57.2
07/1976;57.6
08/1976;57.9
09/1976;58.2
10/1976;58.5
11/1976;58.7
12/1976;58.9
01/1977;59.3
02/1977;59.7
03/1977;60
04/1977;60.3
05/1977;60.6
06/1977;61
07/1977;61.2
08/1977;61.5
09/1977;61.8
10/1977;62
11/1977;62.3
12/1977;62.7
01/1978;63.1
02/1978;63.4
03/1978;63.8
04/1978;64.3
05/1978;64.7
06/1978;65.2
07/1978;65.6
08/1978;66.1
09/1978;66.7
10/1978;67.2
11/1978;67.6
12/1978;68
01/1979;68.5
02/1979;69.2
03/1979;69.8
04/1979;70.3
05/1979;70.8
06/1979;71.3
07/1979;71.9
08/1979;72.7
09/1979;73.3
10/1979;74
11/1979;74.8
12/1979;75.7
01/1980;76.7
02/1980;77.5
03/1980;78.6
04/1980;79.5
05/1980;80.1
06/1980;81
07/1980;80.8
08/1980;81.3
09/1980;82.1
10/1980;83
11/1980;83.9
12/1980;84.9
01/1981;85.4
02/1981;85.9
03/1981;86.4
04/1981;87
05/1981;87.8
06/1981;88.6
07/1981;89.8
08/1981;90.7
09/1981;91.8
10/1981;92.1
11/1981;92.5
12/1981;93
01/1982;93.3
02/1982;93.8
03/1982;93.9
04/1982;94.7
05/1982;95.4
06/1982;96.1
07/1982;96.7
08/1982;97.1
09/1982;97.2
10/1982;97.5
11/1982;97.3
12/1982;97.2
01/1983;97.6
02/1983;98
03/1983;98.2
04/1983;98.6
05/1983;98.9
06/1983;99.2
07/1983;99.8
08/1983;100.1
09/1983;100.5
10/1983;101
11/1983;101.5
12/1983;101.8
01/1984;102.5
02/1984;102.8
03/1984;103.2
04/1984;103.7
05/1984;104.1
06/1984;104.5
07/1984;105
08/1984;105.4
09/1984;105.8
10/1984;106.2
11/1984;106.4
12/1984;106.8
01/1985;107.1
02/1985;107.7
03/1985;108.1
04/1985;108.4
05/1985;108.8
06/1985;109.1
07/1985;109.4
08/1985;109.8
09/1985;110
10/1985;110.5
11/1985;111.1
12/1985;111.4
01/1986;111.9
02/1986;112.2
03/1986;112.5
04/1986;112.9
05/1986;113.1
06/1986;113.4
07/1986;113.8
08/1986;114.2
09/1986;114.6
10/1986;115
11/1986;115.3
12/1986;115.6
01/1987;115.9
02/1987;116.2
03/1987;116.6
04/1987;117.3
05/1987;117.7
06/1987;117.9
07/1987;118.3
08/1987;118.7
09/1987;119.2
10/1987;119.8
11/1987;120.1
12/1987;120.4
01/1988;120.9
02/1988;121.2
03/1988;121.7
04/1988;122.3
05/1988;122.7
06/1988;123.2
07/1988;123.6
08/1988;124
09/1988;124.7
10/1988;125.2
11/1988;125.6
12/1988;126
01/1989;126.5
02/1989;126.9
03/1989;127.4
04/1989;127.8
05/1989;128.3
06/1989;128.8
07/1989;129.2
08/1989;129.5
09/1989;129.9
10/1989;130.6
11/1989;131.1
12/1989;131.6
01/1990;132.1
02/1990;132.7
03/1990;133.5
04/1990;134
05/1990;134.4
06/1990;135.1
07/1990;135.8
08/1990;136.6
09/1990;137.1
10/1990;137.6
11/1990;138
12/1990;138.6
01/1991;139.5
02/1991;140.2
03/1991;140.5
04/1991;140.9
05/1991;141.3
06/1991;141.8
07/1991;142.3
08/1991;142.9
09/1991;143.4
10/1991;143.7
11/1991;144.2
12/1991;144.7
01/1992;145.1
02/1992;145.4
03/1992;145.9
04/1992;146.3
05/1992;146.8
06/1992;147.1
07/1992;147.6
08/1992;147.9
09/1992;148.1
10/1992;148.8
11/1992;149.2
12/1992;149.6
01/1993;150.1
02/1993;150.6
03/1993;150.8
04/1993;151.4
05/1993;151.8
06/1993;152.1
07/1993;152.3
08/1993;152.8
09/1993;152.9
10/1993;153.4
11/1993;153.9
12/1993;154.3
01/1994;154.5
02/1994;154.8
03/1994;155.3
04/1994;155.5
05/1994;155.9
06/1994;156.4
07/1994;156.7
08/1994;157.1
09/1994;157.5
10/1994;157.8
11/1994;158.2
12/1994;158.3
01/1995;159
02/1995;159.4
03/1995;159.9
04/1995;160.4
05/1995;160.7
06/1995;161.1
07/1995;161.4
08/1995;161.8
09/1995;162.2
10/1995;162.7
11/1995;163
12/1995;163.1
01/1996;163.7
02/1996;164
03/1996;164.4
04/1996;164.6
05/1996;165
06/1996;165.4
07/1996;165.7
08/1996;166
09/1996;166.5
10/1996;166.8
11/1996;167.2
12/1996;167.4
01/1997;167.8
02/1997;168.1
03/1997;168.4
04/1997;168.9
05/1997;169.2
06/1997;169.4
07/1997;169.7
08/1997;169.8
09/1997;170.2
10/1997;170.6
11/1997;170.8
12/1997;171.2
01/1998;171.6
02/1998;171.9
03/1998;172.2
04/1998;172.5
05/1998;172.9
06/1998;173.2
07/1998;173.5
08/1998;174
09/1998;174.2
10/1998;174.4
11/1998;174.8
12/1998;175.4
01/1999;175.6
02/1999;175.6
03/1999;175.7
04/1999;176.3
05/1999;176.5
06/1999;176.6
07/1999;177.1
08/1999;177.3
09/1999;177.8
10/1999;178.1
11/1999;178.4
12/1999;178.7
01/2000;179.3
02/2000;179.4
03/2000;180
04/2000;180.3
05/2000;180.7
06/2000;181.1
07/2000;181.5
08/2000;181.9
09/2000;182.3
10/2000;182.6
11/2000;183.1
12/2000;183.3
01/2001;183.9
02/2001;184.4
03/2001;184.7
04/2001;185.1
05/2001;185.3
06/2001;186
07/2001;186.4
08/2001;186.7
09/2001;187.1
10/2001;187.4
11/2001;188.1
12/2001;188.4
01/2002;188.7
02/2002;189.1
03/2002;189.2
04/2002;189.7
05/2002;190
06/2002;190.2
07/2002;190.5
08/2002;191.1
09/2002;191.3
10/2002;191.5
11/2002;191.9
12/2002;192.1
01/2003;192.4
02/2003;192.5
03/2003;192.5
04/2003;192.5
05/2003;192.9
06/2003;193
07/2003;193.4
08/2003;193.6
09/2003;193.7
10/2003;194
11/2003;194
12/2003;194.2
01/2004;194.6
02/2004;194.9
03/2004;195.5
04/2004;195.9
05/2004;196.2
06/2004;196.6
07/2004;196.8
08/2004;196.9
09/2004;197.5
10/2004;197.9
11/2004;198.3
12/2004;198.6
01/2005;199
02/2005;199.4
03/2005;200.1
04/2005;200.2
05/2005;200.5
06/2005;200.6
07/2005;200.9
08/2005;201.1
09/2005;201.3
10/2005;202
11/2005;202.5
12/2005;202.8
01/2006;203.2
02/2006;203.6
03/2006;204.3
04/2006;204.8
05/2006;205.4
06/2006;205.9
07/2006;206.3
08/2006;206.8
09/2006;207.2
10/2006;207.6
11/2006;207.8
12/2006;208.1
01/2007;208.6
02/2007;209.135
03/2007;209.418
04/2007;209.747
05/2007;210.058
06/2007;210.392
07/2007;210.773
08/2007;211.119
09/2007;211.554
10/2007;212.077
11/2007;212.66
12/2007;213.168
01/2008;213.771
02/2008;213.939
03/2008;214.42
04/2008;214.56
05/2008;214.936
06/2008;215.424
07/2008;215.965
08/2008;216.393
09/2008;216.713
10/2008;216.788
11/2008;216.947
12/2008;216.925
01/2009;217.346
02/2009;217.792
03/2009;218.253
04/2009;218.706
05/2009;218.904
06/2009;219.112
07/2009;219.263
08/2009;219.496
09/2009;219.92
10/2009;220.501
11/2009;220.666
12/2009;220.881
01/2010;220.633
02/2010;220.731
03/2010;220.783
04/2010;220.822
05/2010;220.962
06/2010;221.194
07/2010;221.363
08/2010;221.509
09/2010;221.711
10/2010;221.83
11/2010;222.149
12/2010;222.343
01/2011;222.803
02/2011;223.213
03/2011;223.454
04/2011;223.727
05/2011;224.175
06/2011;224.697
07/2011;225.218
08/2011;225.862
09/2011;226.118
10/2011;226.506
11/2011;226.899
12/2011;227.405
01/2012;227.877
02/2012;228.034
03/2012;228.478
04/2012;228.905
05/2012;229.224
06/2012;229.623
07/2012;229.97
08/2012;230.233
09/2012;230.659
10/2012;231.024
11/2012;231.33
12/2012;231.725
01/2013;232.229
02/2013;232.569
03/2013;232.794
04/2013;232.832
05/2013;232.996
06/2013;233.35
07/2013;233.88
08/2013;234.336
09/2013;234.7
10/2013;234.921
11/2013;235.359
12/2013;235.759
01/2014;235.961
02/2014;236.185
03/2014;236.625
04/2014;237.072
05/2014;237.529
06/2014;237.837
07/2014;238.195
08/2014;238.405
09/2014;238.786
10/2014;239.191
11/2014;239.458
12/2014;239.584
01/2015;239.811
02/2015;240.172
03/2015;240.755
04/2015;241.346
05/2015;241.688
06/2015;242.064
07/2015;242.565
08/2015;242.817
09/2015;243.316
10/2015;243.768
11/2015;244.241
12/2015;244.547
01/2016;244.955
02/2016;245.51
03/2016;245.913
04/2016;246.551
05/2016;247.137
06/2016;247.54
07/2016;247.829
08/2016;248.423
09/2016;248.842
10/2016;249.142
11/2016;249.481
12/2016;249.92
01/2017;250.467
02/2017;250.998
03/2017;250.944
04/2017;251.227
05/2017;251.43
06/2017;251.746
07/2017;251.985
08/2017;252.535
09/2017;252.812
10/2017;253.526
11/2017;253.816
12/2017;254.344
01/2018;255.072
02/2018;255.568
03/2018;256.128
04/2018;256.603
05/2018;257.151
06/2018;257.449
07/2018;257.848
08/2018;258.028
09/2018;258.505
10/2018;258.997
11/2018;259.455
12/2018;259.934
01/2019;260.534
02/2019;260.885
03/2019;261.382
04/2019;261.958
05/2019;262.321
06/2019;262.945
07/2019;263.491
08/2019;264.135
09/2019;264.588
10/2019;265.019
11/2019;265.461
12/2019;265.742
01/2020;266.418
02/2020;267.083
03/2020;266.916
04/2020;265.771
05/2020;265.606
06/2020;266.088
07/2020;267.552
08/2020;268.662
09/2020;269.152
10/2020;269.332
11/2020;269.816
12/2020;269.984
01/2021;270.114
02/2021;270.522
03/2021;271.347
04/2021;273.669
05/2021;275.715
06/2021;277.922
07/2021;278.794
08/2021;279.306
09/2021;280.017
10/2021;281.705
11/2021;283.179
12/2021;284.77
01/2022;286.431
02/2022;287.878
03/2022;288.811
04/2022;290.455
05/2022;292.289	
