title; Indicador de Expectativa
title_inb; Índice de Expectativa
subtit; % a.a. Inflação dos consumidores
dfont;FGV
show_perc;1
vtype;rvalue
decimal;1
;
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
09/2005;8.100
10/2005;7.700
11/2005;7.800
12/2005;7.500
01/2006;6.900
02/2006;7.000
03/2006;6.900
04/2006;6.500
05/2006;6.700
06/2006;6.300
07/2006;6.900
08/2006;6.400
09/2006;6.300
10/2006;5.800
11/2006;5.700
12/2006;5.700
01/2007;5.700
02/2007;5.700
03/2007;5.300
04/2007;5.200
05/2007;5.700
06/2007;5.700
07/2007;4.800
08/2007;4.900
09/2007;5.200
10/2007;6.000
11/2007;6.400
12/2007;5.500
01/2008;5.600
02/2008;5.800
03/2008;6.400
04/2008;6.700
05/2008;6.200
06/2008;6.800
07/2008;7.200
08/2008;7.400
09/2008;6.900
10/2008;6.700
11/2008;6.700
12/2008;6.700
01/2009;6.500
02/2009;6.700
03/2009;6.700
04/2009;6.800
05/2009;6.500
06/2009;6.600
07/2009;6.300
08/2009;6.500
09/2009;6.300
10/2009;6.000
11/2009;6.100
12/2009;6.300
01/2010;6.400
02/2010;7.000
03/2010;7.000
04/2010;5.900
05/2010;6.000
06/2010;6.000
07/2010;6.000
08/2010;6.100
09/2010;6.000
10/2010;5.900
11/2010;6.000
12/2010;6.200
01/2011;6.400
02/2011;6.600
03/2011;6.800
04/2011;6.600
05/2011;7.000
06/2011;6.800
07/2011;6.700
08/2011;6.800
09/2011;6.900
10/2011;7.000
11/2011;6.900
12/2011;6.700
01/2012;6.500
02/2012;6.600
03/2012;6.400
04/2012;6.400
05/2012;6.300
06/2012;6.400
07/2012;6.200
08/2012;6.400
09/2012;6.300
10/2012;6.300
11/2012;6.500
12/2012;6.400
01/2013;6.300
02/2013;6.900
03/2013;6.900
04/2013;7.000
05/2013;7.200
06/2013;7.200
07/2013;7.200
08/2013;7.000
09/2013;7.100
10/2013;7.100
11/2013;7.200
12/2013;7.100
01/2014;7.300
02/2014;7.200
03/2014;7.200
04/2014;7.500
05/2014;7.200
06/2014;7.400
07/2014;7.200
08/2014;7.200
09/2014;7.300
10/2014;7.500
11/2014;7.500
12/2014;7.400
01/2015;7.200
02/2015;7.900
03/2015;8.400
04/2015;8.800
05/2015;8.900
06/2015;9.200
07/2015;9.700
08/2015;10.000
09/2015;10.000
10/2015;10.000
11/2015;10.100
12/2015;11.000
01/2016;11.300
02/2016;11.400
03/2016;11.100
04/2016;10.700
05/2016;10.300
06/2016;10.500
07/2016;10.000
08/2016;9.800
09/2016;9.800
10/2016;9.100
11/2016;9.200
12/2016;9.100
01/2017;7.900
02/2017;7.600
03/2017;7.500
04/2017;7.500
05/2017;7.100
06/2017;6.900
07/2017;6.900
08/2017;6.300
09/2017;6.700
10/2017;6.400
11/2017;5.900
12/2017;5.800
01/2018;5.400
02/2018;5.400
03/2018;5.300
04/2018;5.000
05/2018;5.300
06/2018;5.200
07/2018;5.400
08/2018;5.700
09/2018;5.600
10/2018;5.700
11/2018;5.600
12/2018;5.400
01/2019;5.000
02/2019;4.900
03/2019;5.100
04/2019;5.300
05/2019;5.400
06/2019;5.400
07/2019;5.300
08/2019;5.100
09/2019;5.100
10/2019;4.900
11/2019;4.800
12/2019;4.800
01/2020;5.000
02/2020;5.000
03/2020;4.800
04/2020;5.100
05/2020;4.800
06/2020;4.800
07/2020;4.500
08/2020;4.300
09/2020;4.700
10/2020;4.700
11/2020;4.800
12/2020;5.200
01/2021;5.200
02/2021;5.300
03/2021;5.500
04/2021;5.600
05/2021;5.900
06/2021;6.100
07/2021;6.700
08/2021;6.900
09/2021;7.700
10/2021;8.900
11/2021;10.000
12/2021;10.100
01/2022;10.000
02/2022;10.100
03/2022;10.200
04/2022;10.600