title;Índice de Confiança do Consumidor 
title_inb;Índice de Conf. do Consumidor 
subtit; Situação Presente com Ajuste Sazonal

dfont;FGV
vtype;rvalue
decimal;1
;
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
09/2005;85.700
10/2005;85.700
11/2005;85.000
12/2005;86.000
01/2006;88.600
02/2006;87.500
03/2006;89.200
04/2006;87.900
05/2006;87.000
06/2006;87.900
07/2006;89.400
08/2006;86.000
09/2006;85.900
10/2006;88.200
11/2006;87.200
12/2006;87.300
01/2007;86.300
02/2007;87.700
03/2007;84.400
04/2007;88.200
05/2007;88.600
06/2007;89.300
07/2007;90.000
08/2007;90.700
09/2007;87.800
10/2007;88.200
11/2007;89.800
12/2007;94.600
01/2008;93.300
02/2008;92.900
03/2008;97.400
04/2008;95.000
05/2008;97.100
06/2008;94.400
07/2008;88.800
08/2008;93.100
09/2008;98.100
10/2008;90.700
11/2008;85.400
12/2008;88.500
01/2009;87.900
02/2009;86.700
03/2009;88.200
04/2009;85.800
05/2009;86.900
06/2009;90.900
07/2009;90.400
08/2009;93.300
09/2009;94.300
10/2009;96.500
11/2009;96.800
12/2009;94.600
01/2010;98.400
02/2010;98.500
03/2010;97.000
04/2010;99.600
05/2010;102.500
06/2010;103.600
07/2010;103.600
08/2010;105.600
09/2010;108.300
10/2010;107.000
11/2010;110.900
12/2010;109.900
01/2011;109.500
02/2011;109.500
03/2011;109.400
04/2011;108.700
05/2011;107.200
06/2011;110.000
07/2011;112.500
08/2011;108.900
09/2011;106.400
10/2011;105.700
11/2011;108.500
12/2011;108.800
01/2012;106.300
02/2012;109.000
03/2012;109.400
04/2012;111.700
05/2012;110.600
06/2012;107.900
07/2012;106.900
08/2012;105.800
09/2012;105.700
10/2012;106.300
11/2012;105.800
12/2012;103.500
01/2013;103.800
02/2013;102.100
03/2013;99.300
04/2013;99.200
05/2013;101.000
06/2013;100.400
07/2013;95.300
08/2013;97.400
09/2013;98.800
10/2013;98.800
11/2013;98.500
12/2013;96.900
01/2014;95.500
02/2014;93.200
03/2014;94.000
04/2014;94.100
05/2014;91.000
06/2014;93.300
07/2014;94.500
08/2014;91.500
09/2014;90.800
10/2014;88.600
11/2014;86.100
12/2014;86.700
01/2015;81.600
02/2015;78.800
03/2015;77.200
04/2015;78.800
05/2015;77.600
06/2015;76.000
07/2015;73.600
08/2015;72.300
09/2015;69.900
10/2015;69.000
11/2015;68.400
12/2015;66.900
01/2016;67.200
02/2016;68.700
03/2016;66.000
04/2016;64.100
05/2016;65.400
06/2016;65.300
07/2016;66.100
08/2016;69.300
09/2016;68.400
10/2016;69.100
11/2016;67.900
12/2016;64.800
01/2017;67.500
02/2017;69.700
03/2017;70.800
04/2017;70.700
05/2017;70.800
06/2017;71.300
07/2017;70.300
08/2017;71.400
09/2017;71.700
10/2017;73.600
11/2017;74.000
12/2017;73.400
01/2018;74.900
02/2018;74.700
03/2018;77.900
04/2018;76.700
05/2018;77.600
06/2018;73.300
07/2018;74.800
08/2018;72.300
09/2018;72.900
10/2018;72.200
11/2018;74.400
12/2018;75.300
01/2019;76.500
02/2019;77.900
03/2019;76.600
04/2019;76.900
05/2019;73.800
06/2019;73.900
07/2019;75.600
08/2019;78.600
09/2019;77.500
10/2019;77.500
11/2019;78.500
12/2019;79.600
01/2020;78.700
02/2020;80.900
03/2020;76.100
04/2020;65.600
05/2020;65.000
06/2020;70.600
07/2020;71.000
08/2020;71.500
09/2020;72.600
10/2020;72.400
11/2020;71.800
12/2020;69.700
01/2021;68.100
02/2021;69.500
03/2021;64.000
04/2021;64.500
05/2021;68.700
06/2021;71.600
07/2021;70.900
08/2021;69.800
09/2021;68.800
10/2021;69.000
11/2021;66.900
12/2021;65.600
01/2022;66.100
02/2022;67.900
03/2022;65.300
04/2022;69.100