title;Monitor do PIB 
subtit;a preços correntes
vtype;rvalue
dfont;FGV
;
decimal;0
blk_dx;80
blk_dx_inb;74
;
date_type;mm_yyyy
;
data;begin
x;y
01/2000;88572.000
02/2000;92288.000
03/2000;96065.000
04/2000;94618.000
05/2000;99052.000
06/2000;99117.000
07/2000;101660.000
08/2000;105356.000
09/2000;101878.000
10/2000;108002.000
11/2000;107543.000
12/2000;104934.000
01/2001;101440.000
02/2001;101240.000
03/2001;109788.000
04/2001;106386.000
05/2001;109689.000
06/2001;107647.000
07/2001;110877.000
08/2001;113050.000
09/2001;108596.000
10/2001;117305.000
11/2001;116821.000
12/2001;112910.000
01/2002;111267.000
02/2002;113223.000
03/2002;117806.000
04/2002;123459.000
05/2002;122431.000
06/2002;121472.000
07/2002;125646.000
08/2002;127392.000
09/2002;126754.000
10/2002;132645.000
11/2002;134332.000
12/2002;132355.000
01/2003;125777.000
02/2003;132339.000
03/2003;139123.000
04/2003;142018.000
05/2003;140211.000
06/2003;136757.000
07/2003;145570.000
08/2003;145241.000
09/2003;148537.000
10/2003;157197.000
11/2003;154564.000
12/2003;150608.000
01/2004;141318.000
02/2004;143385.000
03/2004;160079.000
04/2004;160178.000
05/2004;159811.000
06/2004;161804.000
07/2004;167239.000
08/2004;168816.000
09/2004;169196.000
10/2004;174756.000
11/2004;176454.000
12/2004;174709.000
01/2005;162756.000
02/2005;160928.000
03/2005;176025.000
04/2005;177266.000
05/2005;178753.000
06/2005;179537.000
07/2005;182268.000
08/2005;187885.000
09/2005;182704.000
10/2005;193511.000
11/2005;194108.000
12/2005;194836.000
01/2006;181208.000
02/2006;179101.000
03/2006;193959.000
04/2006;189725.000
05/2006;196706.000
06/2006;195545.000
07/2006;204913.000
08/2006;209612.000
09/2006;203321.000
10/2006;219181.000
11/2006;219960.000
12/2006;216212.000
01/2007;204728.000
02/2007;203805.000
03/2007;222889.000
04/2007;219029.000
05/2007;226236.000
06/2007;225389.000
07/2007;229535.000
08/2007;234798.000
09/2007;227512.000
10/2007;245499.000
11/2007;242373.000
12/2007;238465.000
01/2008;231139.000
02/2008;233931.000
03/2008;246984.000
04/2008;253947.000
05/2008;256183.000
06/2008;259394.000
07/2008;273247.000
08/2008;270813.000
09/2008;268542.000
10/2008;286832.000
11/2008;270958.000
12/2008;257829.000
01/2009;244807.000
02/2009;244950.000
03/2009;266369.000
04/2009;264226.000
05/2009;268891.000
06/2009;270459.000
07/2009;283524.000
08/2009;285558.000
09/2009;283760.000
10/2009;308879.000
11/2009;306552.000
12/2009;305059.000
01/2010;283340.000
02/2010;286406.000
03/2010;316650.000
04/2010;312271.000
05/2010;316952.000
06/2010;314921.000
07/2010;332059.000
08/2010;334342.000
09/2010;331532.000
10/2010;351556.000
11/2010;354606.000
12/2010;351207.000
01/2011;324841.000
02/2011;335433.000
03/2011;356255.000
04/2011;355576.000
05/2011;368127.000
06/2011;363008.000
07/2011;369907.000
08/2011;375540.000
09/2011;366885.000
10/2011;387133.000
11/2011;389438.000
12/2011;384232.000
01/2012;363243.000
02/2012;366929.000
03/2012;399301.000
04/2012;389090.000
05/2012;400938.000
06/2012;393096.000
07/2012;408852.000
08/2012;420344.000
09/2012;401251.000
10/2012;428264.000
11/2012;422988.000
12/2012;420458.000
01/2013;405343.000
02/2013;402382.000
03/2013;433887.000
04/2013;447392.000
05/2013;440085.000
06/2013;435102.000
07/2013;452303.000
08/2013;455758.000
09/2013;446072.000
10/2013;480692.000
11/2013;471476.000
12/2013;461121.000
01/2014;448773.000
02/2014;458095.000
03/2014;479111.000
04/2014;481687.000
05/2014;480453.000
06/2014;460179.000
07/2014;488296.000
08/2014;486953.000
09/2014;486875.000
10/2014;516747.000
11/2014;499273.000
12/2014;492506.000
01/2015;469254.000
02/2015;469986.000
03/2015;517426.000
04/2015;498079.000
05/2015;493407.000
06/2015;488490.000
07/2015;508263.000
08/2015;503308.000
09/2015;496656.000
10/2015;527232.000
11/2015;513571.000
12/2015;510111.000
01/2016;479063.000
02/2016;492547.000
03/2016;528657.000
04/2016;523068.000
05/2016;513947.000
06/2016;522002.000
07/2016;525698.000
08/2016;532836.000
09/2016;518635.000
10/2016;546046.000
11/2016;546395.000
12/2016;540429.000
01/2017;510110.000
02/2017;516397.000
03/2017;559297.000
04/2017;535425.000
05/2017;551468.000
06/2017;543958.000
07/2017;548641.000
08/2017;558091.000
09/2017;541902.000
10/2017;576764.000
11/2017;574240.000
12/2017;569179.000
01/2018;544924.000
02/2018;545506.000
03/2018;591147.000
04/2018;587094.000
05/2018;561069.000
06/2018;585498.000
07/2018;590361.000
08/2018;599541.000
09/2018;577970.000
10/2018;623044.000
11/2018;608012.000
12/2018;589968.000
01/2019;572149.000
02/2019;582998.000
03/2019;604164.000
04/2019;613353.000
05/2019;616499.000
06/2019;598910.000
07/2019;632527.000
08/2019;630670.000
09/2019;617433.000
10/2019;653499.000
11/2019;636749.000
12/2019;630172.000
01/2020;605263.000
02/2020;613282.000
03/2020;627015.000
04/2020;568681.000
05/2020;563115.000
06/2020;590652.000
07/2020;622897.000
08/2020;626852.000
09/2020;638491.000
10/2020;664858.000
11/2020;668280.000
12/2020;678224.000
01/2021;591620.000
02/2021;779048.000
03/2021;695285.000
04/2021;722718.000
05/2021;707380.000
06/2021;710504.000
07/2021;745644.000
08/2021;740710.000
09/2021;728830.000
10/2021;743705.000
11/2021;751033.000
12/2021;763007.000
01/2022;806306.000
02/2022;846538.000