title;NÃ­vel de Utiliz. da Capacidade Instalada (NUCI)
subtit; Em %, com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;2
mult;1
divshow;1
group;1
yref;0
ylines;
blk_dx;80
period;month
;
;
;
;
;
;
;
;
x;y
01/2001;82.20
02/2001;82.80
03/2001;82.10
04/2001;82.40
05/2001;80.60
06/2001;80.40
07/2001;79.20
08/2001;79.10
09/2001;78.30
10/2001;77.90
11/2001;78.00
12/2001;79.00
01/2002;79.80
02/2002;80.10
03/2002;79.00
04/2002;79.00
05/2002;78.00
06/2002;78.40
07/2002;77.90
08/2002;78.20
09/2002;77.80
10/2002;77.70
11/2002;78.10
12/2002;79.40
01/2003;80.60
02/2003;80.90
03/2003;80.00
04/2003;79.90
05/2003;78.50
06/2003;78.50
07/2003;77.60
08/2003;78.70
09/2003;78.90
10/2003;79.60
11/2003;79.50
12/2003;80.50
01/2004;81.20
02/2004;81.80
03/2004;80.80
04/2004;80.80
05/2004;80.40
06/2004;81.40
07/2004;81.30
08/2004;82.00
09/2004;81.80
10/2004;82.10
11/2004;82.00
12/2004;83.00
01/2005;83.60
02/2005;84.00
03/2005;82.90
04/2005;82.70
05/2005;81.30
06/2005;81.40
07/2005;80.30
08/2005;80.80
09/2005;80.30
10/2005;80.50
11/2005;79.90
12/2005;80.60
01/2006;81.70
02/2006;81.10
03/2006;81.70
04/2006;81.00
05/2006;81.10
06/2006;81.20
07/2006;81.70
08/2006;81.80
09/2006;81.90
10/2006;81.60
11/2006;81.60
12/2006;81.70
01/2007;82.30
02/2007;83.20
03/2007;82.60
04/2007;82.80
05/2007;83.10
06/2007;83.60
07/2007;83.70
08/2007;83.50
09/2007;83.90
10/2007;84.60
11/2007;84.60
12/2007;84.80
01/2008;85.50
02/2008;85.10
03/2008;85.50
04/2008;85.20
05/2008;84.60
06/2008;84.80
07/2008;85.40
08/2008;85.20
09/2008;84.60
10/2008;83.90
11/2008;83.10
12/2008;78.70
01/2009;77.40
02/2009;77.20
03/2009;77.20
04/2009;77.30
05/2009;78.00
06/2009;78.40
07/2009;78.10
08/2009;79.30
09/2009;80.50
10/2009;81.00
11/2009;81.90
12/2009;82.50
01/2010;82.40
02/2010;82.70
03/2010;83.20
04/2010;84.00
05/2010;84.00
06/2010;84.20
07/2010;84.50
08/2010;84.10
09/2010;83.60
10/2010;84.00
11/2010;84.00
12/2010;84.10
01/2011;83.80
02/2011;83.00
03/2011;83.00
04/2011;83.50
05/2011;83.60
06/2011;83.40
07/2011;83.00
08/2011;82.40
09/2011;82.20
10/2011;82.40
11/2011;82.10
12/2011;81.80
01/2012;82.30
02/2012;82.50
03/2012;82.10
04/2012;82.00
05/2012;82.30
06/2012;82.10
07/2012;82.40
08/2012;82.70
09/2012;82.20
10/2012;82.00
11/2012;82.10
12/2012;82.80
01/2013;82.30
02/2013;82.30
03/2013;82.40
04/2013;82.20
05/2013;82.50
06/2013;82.80
07/2013;82.90
08/2013;82.80
09/2013;82.20
10/2013;82.40
11/2013;82.90
12/2013;82.90
01/2014;82.70
02/2014;82.60
03/2014;82.60
04/2014;82.00
05/2014;81.80
06/2014;81.60
07/2014;80.70
08/2014;80.60
09/2014;80.30
10/2014;79.90
11/2014;80.30
12/2014;79.40
01/2015;79.20
02/2015;79.10
03/2015;78.40
04/2015;77.50
05/2015;76.50
06/2015;75.80
07/2015;75.10
08/2015;75.10
09/2015;74.90
10/2015;74.70
11/2015;75.00
12/2015;75.20
01/2016;74.10
02/2016;73.80
03/2016;73.80
04/2016;74.10
05/2016;73.70
06/2016;73.90
07/2016;74.00
08/2016;73.90
09/2016;74.20
10/2016;73.80
11/2016;73.90
12/2016;73.40
01/2017;74.50
02/2017;74.40
03/2017;74.20
04/2017;74.50
05/2017;74.40
06/2017;74.20
07/2017;74.50
08/2017;74.10
09/2017;73.90
10/2017;74.30
11/2017;74.70
12/2017;74.90
01/2018;75.00
02/2018;75.70
03/2018;76.20
04/2018;76.50
05/2018;76.40
06/2018;76.10
07/2018;75.60
08/2018;75.90
09/2018;76.60
10/2018;76.20
11/2018;75.30
12/2018;74.80
01/2019;74.40
02/2019;74.60
03/2019;74.60
04/2019;74.60
05/2019;75.20
06/2019;75.10
07/2019;75.40
08/2019;75.70
09/2019;75.50
10/2019;75.70
11/2019;75.40
12/2019;75.10
01/2020;75.70
02/2020;76.20
03/2020;75.30
04/2020;57.30
05/2020;60.30
06/2020;66.60
07/2020;72.30
08/2020;75.30
09/2020;78.20
10/2020;79.80
11/2020;79.70
12/2020;79.30
01/2021;79.90
02/2021;79.10
03/2021;78.30
04/2021;76.70
05/2021;77.80
06/2021;79.40
07/2021;80.10
08/2021;79.70
09/2021;80.20
10/2021;81.30
11/2021;80.70
12/2021;79.70
01/2022;80.70
