title;Indicador Antecedente de Emprego
subtit;(IAEmp) com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;1
ylines;70.75.80.85.90
yref;70
;
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
06/2008;100.000
07/2008;100.000
08/2008;100.100
09/2008;95.800
10/2008;87.100
11/2008;70.800
12/2008;64.800
01/2009;62.800
02/2009;64.300
03/2009;65.000
04/2009;67.300
05/2009;73.000
06/2009;76.200
07/2009;79.600
08/2009;83.900
09/2009;87.900
10/2009;90.800
11/2009;94.000
12/2009;97.000
01/2010;96.800
02/2010;99.300
03/2010;99.700
04/2010;99.200
05/2010;98.700
06/2010;95.000
07/2010;94.800
08/2010;93.200
09/2010;93.500
10/2010;94.300
11/2010;93.300
12/2010;92.900
01/2011;92.000
02/2011;93.600
03/2011;92.300
04/2011;92.000
05/2011;90.400
06/2011;89.100
07/2011;88.700
08/2011;85.000
09/2011;84.800
10/2011;86.600
11/2011;86.500
12/2011;85.300
01/2012;85.800
02/2012;87.600
03/2012;88.200
04/2012;88.700
05/2012;87.700
06/2012;85.700
07/2012;84.400
08/2012;84.000
09/2012;86.900
10/2012;89.000
11/2012;88.700
12/2012;88.400
01/2013;89.000
02/2013;88.800
03/2013;89.200
04/2013;86.500
05/2013;88.000
06/2013;86.900
07/2013;82.000
08/2013;84.100
09/2013;84.200
10/2013;85.200
11/2013;85.100
12/2013;86.900
01/2014;86.100
02/2014;86.100
03/2014;85.700
04/2014;83.000
05/2014;79.300
06/2014;75.700
07/2014;74.500
08/2014;73.600
09/2014;71.600
10/2014;74.700
11/2014;74.500
12/2014;76.000
01/2015;74.200
02/2015;71.000
03/2015;64.900
04/2015;66.200
05/2015;66.400
06/2015;65.700
07/2015;65.900
08/2015;64.200
09/2015;62.000
10/2015;65.100
11/2015;68.200
12/2015;70.000
01/2016;73.300
02/2016;72.500
03/2016;73.800
04/2016;76.500
05/2016;79.400
06/2016;82.200
07/2016;89.100
08/2016;90.200
09/2016;93.700
10/2016;92.900
11/2016;93.100
12/2016;90.000
01/2017;95.600
02/2017;95.900
03/2017;100.500
04/2017;100.500
05/2017;99.300
06/2017;96.900
07/2017;98.400
08/2017;98.200
09/2017;100.600
10/2017;102.900
11/2017;103.900
12/2017;107.000
01/2018;107.700
02/2018;109.600
03/2018;107.700
04/2018;103.600
05/2018;101.100
06/2018;95.500
07/2018;94.700
08/2018;94.300
09/2018;91.000
10/2018;90.800
11/2018;97.000
12/2018;97.000
01/2019;101.100
02/2019;99.300
03/2019;93.500
04/2019;92.500
05/2019;85.800
06/2019;86.600
07/2019;87.000
08/2019;86.800
09/2019;87.100
10/2019;85.800
11/2019;88.400
12/2019;89.900
01/2020;92.300
02/2020;92.000
03/2020;82.600
04/2020;39.700
05/2020;42.700
06/2020;56.700
07/2020;66.100
08/2020;74.800
09/2020;82.000
10/2020;84.900
11/2020;84.500
12/2020;85.700
01/2021;83.500
02/2021;82.900
03/2021;77.100
04/2021;78.700
05/2021;83.400
06/2021;87.600
07/2021;89.200
08/2021;90.100
09/2021;87.000
10/2021;87.100
11/2021;83.000
12/2021;81.800
01/2022;76.500
02/2022;75.100
03/2022;75.000
04/2022;79.500
05/2022;80.900
06/2022;81.900
07/2022;81.100