date,valor
09/2005,87.800
10/2005,89.600
11/2005,87.300
12/2005,88.700
01/2006,93.300
02/2006,92.800
03/2006,93.000
04/2006,91.800
05/2006,90.700
06/2006,90.700
07/2006,91.200
08/2006,91.800
09/2006,91.500
10/2006,94.300
11/2006,96.000
12/2006,98.300
01/2007,97.500
02/2007,98.500
03/2007,96.000
04/2007,96.000
05/2007,98.700
06/2007,100.100
07/2007,98.600
08/2007,99.400
09/2007,99.700
10/2007,101.600
11/2007,103.100
12/2007,109.000
01/2008,104.100
02/2008,105.900
03/2008,109.700
04/2008,101.300
05/2008,103.100
06/2008,97.100
07/2008,93.300
08/2008,96.800
09/2008,99.900
10/2008,89.600
11/2008,84.800
12/2008,85.100
01/2009,86.400
02/2009,84.800
03/2009,87.900
04/2009,88.000
05/2009,90.000
06/2009,94.300
07/2009,96.800
08/2009,96.300
09/2009,97.800
10/2009,97.700
11/2009,99.300
12/2009,97.500
01/2010,99.100
02/2010,96.300
03/2010,98.900
04/2010,101.300
05/2010,103.500
06/2010,105.200
07/2010,104.200
08/2010,106.100
09/2010,107.000
10/2010,106.000
11/2010,109.100
12/2010,107.000
01/2011,107.800
02/2011,108.500
03/2011,105.400
04/2011,103.400
05/2011,102.500
06/2011,104.800
07/2011,109.000
08/2011,104.300
09/2011,100.700
10/2011,103.400
11/2011,105.600
12/2011,106.800
01/2012,103.300
02/2012,106.100
03/2012,109.500
04/2012,113.200
05/2012,112.300
06/2012,109.600
07/2012,108.300
08/2012,107.000
09/2012,107.700
10/2012,107.900
11/2012,106.500
12/2012,105.500
01/2013,106.000
02/2013,104.700
03/2013,102.200
04/2013,103.000
05/2013,102.700
06/2013,102.400
07/2013,99.500
08/2013,102.000
09/2013,102.500
10/2013,101.100
11/2013,102.100
12/2013,100.600
01/2014,98.500
02/2014,97.000
03/2014,96.700
04/2014,96.400
05/2014,92.500
06/2014,93.400
07/2014,94.500
08/2014,91.800
09/2014,92.800
10/2014,91.400
11/2014,86.000
12/2014,86.600
01/2015,80.200
02/2015,76.100
03/2015,74.100
04/2015,75.500
05/2015,75.100
06/2015,74.000
07/2015,70.800
08/2015,69.700
09/2015,65.100
10/2015,65.300
11/2015,66.100
12/2015,64.900
01/2016,65.400
02/2016,67.800
03/2016,66.000
04/2016,65.600
05/2016,70.400
06/2016,73.100
07/2016,76.700
08/2016,78.800
09/2016,79.900
10/2016,80.600
11/2016,78.300
12/2016,74.100
01/2017,78.300
02/2017,80.500
03/2017,83.400
04/2017,82.300
05/2017,84.000
06/2017,83.100
07/2017,82.700
08/2017,81.900
09/2017,84.200
10/2017,85.800
11/2017,87.100
12/2017,87.300
01/2018,87.700
02/2018,87.400
03/2018,90.800
04/2018,88.900
05/2018,88.100
06/2018,84.100
07/2018,85.400
08/2018,85.000
09/2018,83.700
10/2018,85.700
11/2018,93.000
12/2018,93.000
01/2019,95.300
02/2019,94.500
03/2019,90.900
04/2019,89.700
05/2019,85.800
06/2019,88.200
07/2019,88.900
08/2019,90.600
09/2019,89.900
10/2019,89.600
11/2019,89.600
12/2019,91.600
01/2020,90.400
02/2020,87.800
03/2020,80.200
04/2020,58.200
05/2020,62.100
06/2020,71.100
07/2020,78.800
08/2020,80.200
09/2020,83.400
10/2020,82.400
11/2020,81.700
12/2020,78.500
01/2021,75.800
02/2021,78.000
03/2021,68.200
04/2021,72.500
05/2021,76.200
06/2021,80.900
07/2021,82.200
08/2021,81.800
09/2021,75.300
10/2021,76.300
11/2021,74.900
12/2021,75.500
01/2022,74.100
02/2022,77.000